Fecha,CIDIA_m3dia,CIDIA93_m3dia,VOLUMEN_m3,VOLUMEN93_m3,VHOY93_m3,VHOY_m3,FRECUENCIA_Hz,PMA_Kgcm2,PAB_Kgcm2,Fpv,Zb,Zf,SNDVEL7_ms,SNDVEL8_ms,SNDVEL6_ms,SNDVEL5_ms
1/7/2025 00:00:00,6.073.182,6.018.459,4.666.742,4.608.525,3.117.585,3.163.761,"637,35","70,49","71,48","1,0513","0,9978","0,9028","438,97","439,00","438,92","438,92"
1/7/2025 01:00:00,6.081.825,6.023.659,4.666.742,4.608.525,3.368.195,3.416.721,"634,76","70,69","71,68","1,0517","0,9978","0,9020","438,73","438,79","438,72","438,68"
1/7/2025 02:00:00,5.938.320,5.876.661,4.666.742,4.608.525,3.616.268,3.667.281,"622,85","70,60","71,59","1,0511","0,9978","0,9031","439,38","439,41","439,34","439,29"
1/7/2025 03:00:00,5.922.127,5.870.554,4.666.742,4.608.525,3.862.254,3.915.697,"622,39","70,28","71,26","1,0515","0,9978","0,9023","437,97","437,98","437,96","437,92"
1/7/2025 04:00:00,5.904.004,5.859.098,4.666.742,4.608.525,4.106.083,4.161.270,"623,37","70,03","71,01","1,0514","0,9978","0,9026","438,23","438,26","438,17","438,17"
1/7/2025 05:00:00,6.075.622,6.044.498,4.666.742,4.608.525,4.348.504,4.405.408,"636,12","70,48","71,46","1,0522","0,9978","0,9012","437,00","437,06","436,99","436,98"
1/7/2025 06:00:00,6.103.399,6.076.851,4.666.742,4.608.525,4.605.549,4.663.753,"638,25","70,68","71,66","1,0524","0,9978","0,9011","437,25","437,21","437,16","437,13"
1/7/2025 07:00:00,4.536.611,4.508.084,4.666.742,4.608.525,229.483,230.684,"487,46","68,58","69,57","1,0514","0,9978","0,9026","436,63","436,71","436,66","436,56"
1/7/2025 08:00:00,4.103.380,4.083.594,4.666.742,4.608.525,406.716,409.009,"445,64","68,02","69,00","1,0509","0,9978","0,9035","435,69","435,66","435,65","435,56"
1/7/2025 09:00:00,4.188.628,4.193.452,4.666.742,4.608.525,580.641,583.116,"452,95","68,16","69,14","1,0522","0,9978","0,9014","434,03","434,07","433,98","433,95"
1/7/2025 10:00:00,3.398.532,3.394.865,4.666.742,4.608.525,737.937,740.296,"369,84","67,70","68,68","1,0517","0,9978","0,9021","434,95","434,99","434,90","434,86"
1/7/2025 11:00:00,2.863.185,2.844.919,4.666.742,4.608.525,871.255,874.128,"312,71","67,52","68,51","1,0508","0,9978","0,9037","436,64","436,63","436,59","436,51"
1/7/2025 12:00:00,3.264.369,3.232.392,4.666.742,4.608.525,996.703,1.000.531,"358,04","67,26","68,25","1,0502","0,9978","0,9049","437,94","437,96","437,95","437,85"
1/7/2025 13:00:00,3.197.356,3.152.864,4.666.742,4.608.525,1.129.705,1.135.098,"353,45","66,93","67,91","1,0490","0,9979","0,9067","439,21","439,30","439,21","439,19"
1/7/2025 14:00:00,3.138.412,3.090.283,4.666.742,4.608.525,1.256.371,1.263.634,"346,97","66,95","67,93","1,0488","0,9979","0,9072","440,07","440,10","440,07","439,99"
1/7/2025 15:00:00,3.252.308,3.200.033,4.666.742,4.608.525,1.390.663,1.400.086,"358,09","67,29","68,27","1,0487","0,9979","0,9073","439,97","439,97","439,96","439,87"
1/7/2025 16:00:00,3.343.964,3.290.937,4.666.742,4.608.525,1.525.171,1.536.713,"367,62","67,35","68,34","1,0488","0,9979","0,9072","440,35","440,34","440,32","440,22"
1/7/2025 17:00:00,4.056.354,3.991.567,4.666.742,4.608.525,1.672.261,1.686.185,"442,24","67,97","68,96","1,0490","0,9979","0,9067","440,18","440,21","440,15","440,10"
1/7/2025 18:00:00,4.303.814,4.245.672,4.666.742,4.608.525,1.847.254,1.863.864,"466,44","68,39","69,38","1,0497","0,9979","0,9057","438,77","438,78","438,75","438,71"
1/7/2025 19:00:00,4.653.272,4.608.914,4.666.742,4.608.525,2.029.264,2.047.901,"501,61","68,52","69,50","1,0507","0,9978","0,9037","437,32","437,37","437,31","437,26"
1/7/2025 20:00:00,5.196.014,5.141.591,4.666.742,4.608.525,2.231.565,2.252.227,"559,63","68,73","69,71","1,0506","0,9978","0,9040","437,44","437,47","437,50","437,36"
1/7/2025 21:00:00,5.453.400,5.407.024,4.666.742,4.608.525,2.458.315,2.481.138,"580,91","69,48","70,47","1,0511","0,9978","0,9031","437,21","437,28","437,23","437,19"
1/7/2025 22:00:00,5.607.551,5.579.824,4.666.742,4.608.525,2.690.032,2.714.427,"588,94","70,39","71,37","1,0520","0,9978","0,9016","436,56","436,66","436,59","436,52"
1/7/2025 23:00:00,5.438.135,5.412.976,4.666.742,4.608.525,2.910.749,2.936.106,"571,13","70,31","71,29","1,0523","0,9978","0,9011","436,84","436,94","436,82","436,82"
2/7/2025 00:00:00,5.699.314,5.666.398,,,3.142.182,3.168.818,"597,25","70,48","71,46","1,0521","0,9978","0,9014","437,09","437,11","437,05","437,00"
2/7/2025 01:00:00,5.825.990,5.797.582,4.594.075,4.559.671,3.381.456,3.409.355,"609,97","70,47","71,46","1,0524","0,9978","0,9008","436,56","436,61","436,59","436,51"
2/7/2025 02:00:00,5.771.330,5.739.571,4.594.075,4.559.671,3.611.173,3.640.236,"605,51","70,35","71,34","1,0523","0,9978","0,9012","436,55","436,58","436,58","436,46"
2/7/2025 03:00:00,5.753.095,5.722.236,4.594.075,4.559.671,3.850.807,3.881.150,"603,19","70,43","71,42","1,0522","0,9978","0,9011","436,77","436,76","436,77","436,64"
2/7/2025 04:00:00,5.733.699,5.700.135,4.594.075,4.559.671,4.088.749,4.120.422,"599,74","70,47","71,45","1,0525","0,9978","0,9008","436,63","436,66","436,62","436,56"
2/7/2025 05:00:00,5.724.580,5.691.158,4.594.075,4.559.671,4.323.369,4.356.427,"599,98","70,39","71,37","1,0523","0,9978","0,9010","436,59","436,61","436,58","436,53"
2/7/2025 06:00:00,5.617.206,5.585.613,4.594.075,4.559.671,4.556.672,4.591.058,"592,52","69,90","70,89","1,0522","0,9978","0,9013","436,32","436,39","436,33","436,27"
2/7/2025 07:00:00,4.580.250,4.556.215,4.594.075,4.559.671,203.499,204.585,"495,60","68,06","69,05","1,0514","0,9978","0,9026","435,78","435,80","435,75","435,66"
2/7/2025 08:00:00,4.609.138,4.590.166,4.594.075,4.559.671,393.938,395.936,"498,82","68,27","69,26","1,0512","0,9978","0,9030","435,88","435,92","435,84","435,78"
2/7/2025 09:00:00,4.869.664,4.852.052,4.594.075,4.559.671,592.323,595.016,"525,08","68,45","69,43","1,0516","0,9978","0,9023","435,61","435,66","435,59","435,51"
2/7/2025 10:00:00,5.050.738,5.032.603,4.594.075,4.559.671,799.748,803.198,"543,46","68,65","69,63","1,0516","0,9978","0,9023","435,60","435,65","435,65","435,56"
2/7/2025 11:00:00,4.777.031,4.755.737,4.594.075,4.559.671,1.005.780,1.009.977,"514,02","68,53","69,51","1,0517","0,9978","0,9022","435,69","435,70","435,61","435,51"
2/7/2025 12:00:00,5.153.162,5.127.119,4.594.075,4.559.671,1.210.708,1.215.848,"551,07","69,10","70,08","1,0514","0,9978","0,9025","436,69","436,71","436,68","436,63"
2/7/2025 13:00:00,4.766.647,4.767.922,4.594.075,4.559.671,1.408.099,1.413.898,"512,03","68,68","69,66","1,0524","0,9978","0,9007","433,97","434,02","433,89","433,87"
2/7/2025 14:00:00,4.736.814,4.717.351,4.594.075,4.559.671,1.619.680,1.625.450,"509,06","68,77","69,75","1,0516","0,9978","0,9024","436,66","436,74","436,64","436,61"
2/7/2025 15:00:00,4.608.163,4.567.051,4.594.075,4.559.671,1.815.706,1.822.781,"499,18","68,56","69,54","1,0500","0,9978","0,9052","438,68","438,66","438,57","438,57"
2/7/2025 16:00:00,4.539.987,4.534.660,4.594.075,4.559.671,2.015.094,2.023.428,"488,33","68,51","69,50","1,0521","0,9978","0,9014","434,43","434,41","434,41","434,36"
2/7/2025 17:00:00,4.255.693,4.244.834,4.594.075,4.559.671,2.200.296,2.208.923,"464,30","68,30","69,29","1,0500","0,9978","0,9049","437,05","437,10","437,04","436,98"
2/7/2025 18:00:00,3.225.495,3.218.862,4.594.075,4.559.671,2.364.152,2.373.124,"350,25","67,95","68,93","1,0515","0,9978","0,9025","435,29","435,35","435,29","435,22"
2/7/2025 19:00:00,3.600.827,3.586.844,4.594.075,4.559.671,2.497.017,2.506.352,"390,71","68,06","69,05","1,0512","0,9978","0,9031","436,04","436,08","436,01","435,95"
2/7/2025 20:00:00,4.094.055,4.069.924,4.594.075,4.559.671,2.649.826,2.659.865,"441,78","68,59","69,57","1,0508","0,9978","0,9036","437,59","437,55","437,53","437,50"
2/7/2025 21:00:00,5.274.039,5.226.865,4.594.075,4.559.671,2.857.511,2.869.191,"560,66","69,85","70,84","1,0506","0,9978","0,9041","438,98","439,04","438,95","438,91"
2/7/2025 22:00:00,5.264.930,5.216.123,4.594.075,4.559.671,3.070.967,3.084.655,"558,82","69,81","70,79","1,0509","0,9978","0,9035","438,56","438,54","438,47","438,46"
2/7/2025 23:00:00,5.724.283,5.674.230,4.594.075,4.559.671,3.300.625,3.316.490,"614,78","68,93","69,91","1,0505","0,9978","0,9042","438,76","438,81","438,71","438,70"
3/7/2025 00:00:00,6.836.172,6.776.613,,,3.555.068,3.573.270,"741,94","68,37","69,35","1,0500","0,9978","0,9052","438,44","438,45","438,38","438,34"
3/7/2025 01:00:00,7.018.049,6.975.055,5.451.215,5.423.857,3.845.619,3.865.946,"766,56","67,78","68,76","1,0503","0,9978","0,9045","437,15","437,22","437,14","437,12"
3/7/2025 02:00:00,7.569.123,7.527.681,5.451.215,5.423.857,4.150.439,4.172.624,"822,61","68,17","69,16","1,0503","0,9978","0,9046","437,67","437,68","437,67","437,64"
3/7/2025 03:00:00,7.684.261,7.651.369,5.451.215,5.423.857,4.468.138,4.491.831,"832,28","68,34","69,32","1,0507","0,9978","0,9038","437,07","437,11","437,02","436,98"
3/7/2025 04:00:00,7.672.442,7.639.525,5.451.215,5.423.857,4.784.836,4.809.745,"829,33","68,42","69,40","1,0510","0,9978","0,9034","436,60","436,62","436,54","436,53"
3/7/2025 05:00:00,7.574.459,7.545.228,5.451.215,5.423.857,5.103.401,5.129.637,"820,87","68,43","69,41","1,0506","0,9978","0,9040","436,75","436,79","436,75","436,73"
3/7/2025 06:00:00,7.684.051,7.660.085,5.451.215,5.423.857,5.419.932,5.447.277,"832,40","68,31","69,29","1,0512","0,9978","0,9029","436,12","436,24","436,12","436,11"
3/7/2025 07:00:00,6.517.976,6.492.634,5.451.215,5.423.857,294.357,295.435,"720,73","67,08","68,06","1,0503","0,9978","0,9045","436,14","436,17","436,16","436,14"
3/7/2025 08:00:00,4.687.011,4.668.299,5.451.215,5.423.857,528.043,530.100,"514,03","67,46","68,44","1,0506","0,9978","0,9041","436,02","436,13","436,00","435,94"
3/7/2025 09:00:00,3.591.391,3.576.739,5.451.215,5.423.857,693.455,696.144,"393,00","67,61","68,60","1,0511","0,9978","0,9032","435,76","435,79","435,73","435,67"
3/7/2025 10:00:00,3.591.214,3.567.664,5.451.215,5.423.857,843.074,846.557,"392,67","67,57","68,56","1,0504","0,9978","0,9044","436,95","436,95","436,90","436,80"
3/7/2025 11:00:00,3.670.580,3.644.391,5.451.215,5.423.857,994.368,998.897,"400,67","67,63","68,61","1,0505","0,9978","0,9042","436,83","436,87","436,82","436,70"
3/7/2025 12:00:00,3.989.671,3.966.590,5.451.215,5.423.857,1.155.998,1.161.613,"434,20","67,94","68,92","1,0507","0,9978","0,9038","436,38","436,42","436,35","436,30"
3/7/2025 13:00:00,4.366.850,4.348.969,5.451.215,5.423.857,1.332.866,1.339.338,"472,21","68,24","69,22","1,0514","0,9978","0,9027","435,78","435,76","435,74","435,69"
3/7/2025 14:00:00,4.321.578,4.307.668,5.451.215,5.423.857,1.518.891,1.526.055,"468,37","68,29","69,27","1,0510","0,9978","0,9033","436,32","436,34","436,28","436,26"
3/7/2025 15:00:00,4.392.704,4.367.698,5.451.215,5.423.857,1.693.812,1.701.748,"475,24","68,37","69,36","1,0508","0,9978","0,9036","436,78","436,83","436,78","436,75"
3/7/2025 16:00:00,4.364.842,4.338.359,5.451.215,5.423.857,1.878.311,1.887.337,"472,41","68,48","69,47","1,0506","0,9978","0,9040","437,23","437,26","437,23","437,14"
3/7/2025 17:00:00,4.172.406,4.156.345,5.451.215,5.423.857,2.054.939,2.065.043,"450,95","68,49","69,47","1,0511","0,9978","0,9030","436,96","436,93","436,95","436,83"
3/7/2025 18:00:00,3.816.459,3.787.487,5.451.215,5.423.857,2.221.365,2.232.462,"413,63","68,28","69,26","1,0505","0,9978","0,9043","437,83","437,84","437,80","437,78"
3/7/2025 19:00:00,4.676.683,4.631.654,5.451.215,5.423.857,2.389.875,2.402.431,"501,93","69,01","69,98","1,0504","0,9978","0,9044","438,87","438,90","438,83","438,80"
3/7/2025 20:00:00,4.963.470,4.909.198,5.451.215,5.423.857,2.581.603,2.596.215,"528,91","69,54","70,52","1,0504","0,9978","0,9043","439,10","439,15","439,07","439,03"
3/7/2025 21:00:00,5.143.111,5.099.907,5.451.215,5.423.857,2.794.696,2.811.440,"542,52","70,24","71,22","1,0512","0,9978","0,9030","438,39","438,41","438,35","438,33"
3/7/2025 22:00:00,5.246.646,5.213.619,5.451.215,5.423.857,3.003.051,3.021.276,"554,69","69,82","70,81","1,0520","0,9978","0,9016","436,31","436,34","436,27","436,24"
3/7/2025 23:00:00,5.676.495,5.631.160,5.451.215,5.423.857,3.233.589,3.253.471,"602,87","69,59","70,57","1,0515","0,9978","0,9025","437,42","437,46","437,42","437,34"
4/7/2025 00:00:00,5.913.553,5.872.485,,,3.472.443,3.494.108,"629,17","69,61","70,59","1,0513","0,9978","0,9028","437,55","437,62","437,56","437,52"
4/7/2025 01:00:00,5.788.802,5.746.872,4.942.674,4.909.606,3.714.708,3.738.123,"613,58","69,76","70,74","1,0514","0,9978","0,9027","437,78","437,81","437,74","437,70"
