Fecha,CIDIA_m3dia,CIDIA93_m3dia,VOLUMEN_m3,VOLUMEN93_m3,VHOY93_m3,VHOY_m3,FRECUENCIA_Hz,PMA_Kgcm2,PAB_Kgcm2,Fpv,Zb,Zf,SNDVEL7_ms,SNDVEL8_ms,SNDVEL6_ms,SNDVEL5_ms,Etiqueta,SNDVEL_promedio,Q_P_ratio,Q_Z_ratio,Q_Fpv_ratio,Z_Fpv,PMA_Kgcm2_smooth,CIDIA_m3dia_smooth,Zb_smooth,Fpv_smooth,SNDVEL_promedio_smooth,Q_P_ratio_smooth,Q_Z_ratio_smooth,Q_Fpv_ratio_smooth,Z_Fpv_smooth
2025-07-01 00:00:00,6073182,6.018.459,4.666.742,4.608.525,3.117.585,3.163.761,"637,35",70.49,"71,48",1.0513,0.9978,"0,9028","438,97","439,00","438,92","438,92",0,4389525,86156.64633281316,6086572.459410704,5776830.590697233,1.04898714,70.59,6077503.5,0.9978,1.0514999999999999,2216699.0,86095.89990993467,6090903.48767288,5779841.082169953,1.0491867
2025-07-01 01:00:00,6081825,6.023.659,4.666.742,4.608.525,3.368.195,3.416.721,"634,76",70.69,"71,68",1.0517,0.9978,"0,9020","438,73","438,79","438,72","438,68",0,43873,86035.15348705616,6095234.515935057,5782851.573642673,1.0493862600000001,70.59333333333332,6031109.0,0.9978,1.0513666666666666,1624251.0,85434.6603743285,6044406.6947284015,5736435.455851861,1.04905366
2025-07-01 02:00:00,5938320,5.876.661,4.666.742,4.608.525,3.616.268,3.667.281,"622,85",70.6,"71,59",1.0511,0.9978,"0,9031","439,38","439,41","439,34","439,29",0,439355,84112.18130311616,5951413.108839447,5649624.203215679,1.04878758,70.52333333333333,5980757.333333333,0.9978,1.0514333333333334,1620934.3333333333,84804.030018276,5993944.010155675,5688183.635874641,1.04912018
2025-07-01 03:00:00,5922127,5.870.554,4.666.742,4.608.525,3.862.254,3.915.697,"622,39",70.28,"71,26",1.0515,0.9978,"0,9023","437,97","437,98","437,96","437,92",0,4379575,84264.75526465566,5935184.405692523,5632075.130765572,1.0491867000000001,70.30333333333333,5921483.666666667,0.9978,1.0513333333333332,1.4606916668272976e+16,84227.90645838004,5934539.653905258,5632357.707104143,1.0490203999999999
2025-07-01 04:00:00,5904004,5.859.098,4.666.742,4.608.525,4.106.083,4.161.270,"623,37",70.03,"71,01",1.0514,0.9978,"0,9026","438,23","438,26","438,17","438,17",0,43820750000000004,84306.78280736828,5917021.447183805,5615373.787331178,1.04908692,70.26333333333334,5967251.0,0.9978,1.0517,1.4606916669583216e+16,84925.00947463227,5980407.897374223,5673885.747836723,1.0493862600000001
2025-07-01 05:00:00,6075622,6.044.498,4.666.742,4.608.525,4.348.504,4.405.408,"636,12",70.48,"71,46",1.0522,0.9978,"0,9012","437,00","437,06","436,99","436,98",0,4370075,86203.49035187287,6089017.839246342,5774208.325413419,1.04988516,70.39666666666666,6027675.0,0.9978,1.0519999999999998,1.460691666958065e+16,85620.94466560632,6040965.123271197,5729695.684610546,1.0496856
2025-07-01 06:00:00,6103399,6.076.851,4.666.742,4.608.525,4.605.549,4.663.753,"638,25",70.68,"71,66",1.0524,0.9978,"0,9011","437,25","437,21","437,16","437,13",0,4371875,86352.56083757781,6116856.083383444,5799504.941087039,1.05008472,69.91333333333334,5571877.333333333,0.9978,1.0519999999999998,2928538.0,79568.89759197301,5584162.490813122,5296180.6887320345,1.0496856
2025-07-01 07:00:00,4536611,4.508.084,4.666.742,4.608.525,229.483,230.684,"487,46",68.58,"69,57",1.0514,0.9978,"0,9026","436,63","436,71","436,66","436,56",0,43664,66150.64158646837,4546613.549809581,4314828.7996956445,1.04908692,69.09333333333333,4914463.333333333,0.9978,1.0515666666666665,1.4521333334805178e+16,70943.09432952867,4925298.991113783,4672989.287971746,1.04925322
2025-07-01 08:00:00,4103380,4.083.594,4.666.742,4.608.525,406.716,409.009,"445,64",68.02,"69,00",1.0509,0.9978,"0,9035","435,69","435,66","435,65","435,56",0,43564000000000004,60326.08056453984,4112427.340148326,3904634.1231325534,1.04858802,68.25333333333333,4276206.333333333,0.9978,1.0514999999999999,1.4521333334794578e+16,62643.19924595422,4285634.729738758,4066763.8875371697,1.0491867000000001
2025-07-01 09:00:00,4188628,4.193.452,4.666.742,4.608.525,580.641,583.116,"452,95",68.16,"69,14",1.0522,0.9978,"0,9014","434,03","434,07","433,98","433,95",0,4340075,61452.87558685446,4197863.299258368,3980828.7397833113,1.04988516,67.96,3896846.6666666665,0.9978,1.0515999999999999,1.4521333334925e+16,57326.27932766811,3905438.63165631,3705642.703219744,1.0492864800000001
2025-07-01 10:00:00,3398532,3.394.865,4.666.742,4.608.525,737.937,740.296,"369,84",67.7,"68,68",1.0517,0.9978,"0,9021","434,95","434,99","434,90","434,86",0,434925,50199.881831610044,3406025.255562237,3231465.2467433675,1.0493862600000001,67.79333333333334,3483448.3333333335,0.9978,1.0515666666666668,3046975.0,51352.582844069526,3491128.8167301393,3312353.610278593,1.04925322
2025-07-01 11:00:00,2863185,2.844.919,4.666.742,4.608.525,871.255,874.128,"312,71",67.52,"68,51",1.0508,0.9978,"0,9037","436,64","436,63","436,59","436,51",0,4365925,42404.99111374408,2869497.8953698133,2724766.844309098,1.04848824,67.49333333333334,3175362.0,0.9978,1.0509000000000002,1746258.3333333333,47046.15300973594,3182363.1990378834,3021520.961728972,1.0485880200000002
2025-07-01 12:00:00,3264369,3.232.392,4.666.742,4.608.525,996.703,1.000.531,"358,04",67.26,"68,25",1.0502,0.9978,"0,9049","437,94","437,96","437,95","437,85",0,437925,48533.5860838537,3271566.4461815995,3108330.7941344506,1.04788956,67.23666666666668,3108303.3333333335,0.9978333333333333,1.0499999999999998,1.464091666826795e+16,46236.73973721409,3115049.6397214667,2960367.150532978,1.0477249666666666
2025-07-01 13:00:00,3197356,3.152.864,4.666.742,4.608.525,1.129.705,1.135.098,"353,45",66.93,"67,91",1.049,0.9979,"0,9067","439,21","439,30","439,21","439,19",0,43922749999999996,47771.64201404452,3204084.5776129873,3048003.813155386,1.0467971,67.04666666666667,3200045.6666666665,0.9978666666666666,1.0493333333333332,1.4640916668279498e+16,47727.39368262029,3206889.1861725016,3049572.7612908664,1.0470947266666666
2025-07-01 14:00:00,3138412,3.090.283,4.666.742,4.608.525,1.256.371,1.263.634,"346,97",66.95,"67,93",1.0488,0.9979,"0,9072","440,07","440,10","440,07","439,99",0,4400575,46876.95294996266,3145016.534722918,2992383.6765827616,1.04659752,67.05666666666667,3196025.3333333335,0.9979,1.0488333333333333,1.46409166696e+16,47660.43471109151,3202751.1106657316,3047221.118365085,1.0466307833333333
